Acceleration  X,Acceleration  Y,Acceleration  Z, Aggregated Acceleration Value
Acceleration  X,Acceleration  Y,Acceleration  Z, Aggregated Acceleration Value
-3.9047,-4.0100,8.0965,9.8528
-3.6846,-4.0387,7.8859,9.6054
-3.9430,-4.2492,8.1252,9.9913
-3.9813,-4.2014,7.8381,9.7535
-4.0674,-4.3162,7.9529,9.9309
-4.0578,-4.1535,7.8285,9.7569
-3.9908,-4.0578,7.9338,9.7741
-4.0865,-4.0578,7.9816,9.8524
-4.1248,-4.0961,7.8381,9.7684
-3.9143,-4.9191,9.2258,11.1754
-1.2441,-8.7473,6.5365,11.0016
0.3637,0.0383,-11.5992,11.6168
-3.4070,0.2297,10.0967,10.6694
0.7273,-5.3211,15.5900,16.5060
-0.0096,1.6844,-12.2117,12.3399
-4.9191,-0.6699,2.2299,5.4479
5.3689,-8.4793,17.4754,20.1728
2.0289,-6.6801,3.0912,7.6429
-0.6316,-8.3549,-0.9857,8.4451
-0.7943,-8.2496,-2.9381,8.8021
-2.9859,-8.3932,3.1391,9.4550
0.1818,-6.3260,10.6135,12.3697
2.3256,-3.8090,7.9051,9.0871
2.5074,-3.8568,7.2256,8.5745
1.7705,-4.1918,8.7951,9.9126
3.9908,-3.3400,8.5750,10.0408
2.5074,-3.7037,8.0486,9.2173
2.3926,-3.4932,9.1492,10.0917
1.9428,-3.6176,8.1826,9.1645
2.1820,-3.4262,8.8047,9.7064
2.0193,-3.4357,8.6420,9.5263
2.1533,-3.3592,8.7760,9.6503
2.0959,-3.2922,8.5367,9.3961
2.1533,-3.3305,8.8143,9.6753
2.1246,-3.3496,8.6611,9.5360
2.1246,-3.2443,8.5750,9.4208
2.1629,-3.2348,8.6898,9.5310
2.2203,-3.2539,8.7568,9.6119
2.2203,-3.2539,8.7377,9.5944
2.1916,-3.2252,8.6516,9.4994
2.2299,-3.2156,8.6898,9.5400
2.2395,-3.2252,8.6516,9.5106
2.2395,-3.2156,8.6898,9.5422
2.2682,-3.1773,8.7473,9.5886
2.2682,-3.1965,8.7855,9.6300
2.2682,-3.1678,8.7281,9.5680
2.2682,-3.1965,8.7090,9.5601
2.2490,-3.2156,8.6803,9.5358
2.2299,-3.1869,8.6516,9.4954
2.2395,-3.1869,8.6516,9.4976
2.2586,-3.1965,8.7186,9.5665
